id,operation.id,message
00021147-405d-4128-b561-6d15d6f39e9f,OPERATION-5274,Landing Gear Issue
000c05a3-1b2d-433a-813d-99ea5fe28f80,OPERATION-5260,Hydraulic System Warning
000e4dd9-241b-496d-a229-104fc819d5de,OPERATION-3960,Weather Alert
0015e9b9-6db9-4bd2-b97f-dfc76ba2656f,OPERATION-5458,Navigation System Fault
001c93ab-23cc-4c78-8262-c60ff3fb70e8,OPERATION-1589,Engine Check
001fff33-8b8d-4402-9c8b-fc973fe78acd,OPERATION-2321,Landing Gear Issue
0020107d-f3da-48cd-8e79-74d5d210a149,OPERATION-3607,Navigation System Fault
00301d6b-09b9-402d-9fb2-9ed8e24a42c2,OPERATION-112,Security Alert
0035f1e9-6152-4aa1-bed7-e08a899faa66,OPERATION-5715,Security Alert
00404edf-76d3-402e-ae66-6322fdec32b0,OPERATION-743,Security Alert
0042538e-6df5-4c36-8f6e-c81edc63cd1a,OPERATION-1264,Engine Check
0042b5e4-2cad-4996-8e43-31a3ffebba7e,OPERATION-5439,Hydraulic System Warning
004816f4-ab76-4aa4-b7c9-ff3a2feb4c26,OPERATION-547,Landing Gear Issue
00488420-ebce-479a-9bfa-5d34cb830f96,OPERATION-1255,Navigation System Fault
0050a5e8-c17c-460c-8f9f-068a9994de1a,OPERATION-5488,Maintenance Required
00529b32-8536-488a-8c7e-c480a18c46ea,OPERATION-3533,Landing Gear Issue
00540893-c8fd-4679-a786-3e8a949d9a6f,OPERATION-2251,Weather Alert
00563c09-31c5-4ec2-a08f-b982e1ff48da,OPERATION-2378,Navigation System Fault
005dd835-6332-493c-b888-a7ff36bf5e3b,OPERATION-3037,Weather Alert
00605bdf-da9d-4940-a59b-04c25b59d1d4,OPERATION-4011,Hydraulic System Warning
00702795-7458-44ee-b5ae-16ebc13e3cde,OPERATION-1556,Navigation System Fault
00719f7c-900e-4955-84e1-ad5725c80f32,OPERATION-3122,Engine Check
00748475-e15a-4a85-83c8-5f43e1a8737a,OPERATION-1953,Landing Gear Issue
00754dd9-8349-4178-b8f4-bf5bf0ecbb5e,OPERATION-2222,Weather Alert
00781593-0a72-4027-8a24-5c58f7638430,OPERATION-4367,Communication Error
007a9f91-7942-42d1-b833-48817309f894,OPERATION-3536,Communication Error
007e0f4b-7bd6-4511-b1da-dd016ce373b6,OPERATION-3455,Hydraulic System Warning
0084405f-5cb6-41ad-9d72-e62a8c904bbc,OPERATION-5296,Air Traffic Control Delay
0085b954-9eb7-45d1-96ae-7c06f91a9617,OPERATION-2067,Hydraulic System Warning
008cd141-952a-4fb1-9f61-ace4de5da574,OPERATION-5724,Fuel Low
008d423b-ce5a-4ada-8bb9-0f67faf791ab,OPERATION-3764,Landing Gear Issue
008e5a34-4961-49ba-ad2a-bd2184b60e85,OPERATION-2992,Air Traffic Control Delay
00969c16-d4ae-40b2-a10a-ebd617c564c2,OPERATION-1108,Landing Gear Issue
009895ed-932e-44ee-9354-7d741c27c8a7,OPERATION-1494,Navigation System Fault
009a6f83-ea3c-4519-b5e3-3636dfcacbce,OPERATION-3770,Navigation System Fault
009c4997-c21a-4cd8-8e4b-caad094ffc46,OPERATION-1333,Communication Error
009ebfdb-93b9-4404-8f27-9c9a2eec6276,OPERATION-2445,Air Traffic Control Delay
00c4359a-5e17-4160-bad7-fb722855b6e4,OPERATION-414,Fuel Low
00c4a7db-1cc9-489d-a6e2-5a27a8c0e86f,OPERATION-2760,Air Traffic Control Delay
00ce06e9-2b9a-4126-98c5-e4cf302a8f58,OPERATION-4539,Fuel Low
00d1c54c-7576-435d-8ea0-f2be556c4f9a,OPERATION-4573,Navigation System Fault
00d6a49c-3be2-42be-bb1f-839d414db834,OPERATION-4603,Navigation System Fault
00d787de-bba3-4f9b-a245-012d5a68ddd4,OPERATION-4912,Hydraulic System Warning
00d8e434-920c-444b-8592-0404fcc4415a,OPERATION-3854,Engine Check
00db6a7f-8328-489b-8355-abbcdfc90987,OPERATION-4313,Navigation System Fault
00e12d87-b770-46fa-b3c0-0f51e1a87d9b,OPERATION-93,Security Alert
00e659ec-a5a0-49c1-a542-b204f10f543a,OPERATION-2564,Fuel Low
00f3cf90-166f-427a-828a-320f8ec3169c,OPERATION-1353,Security Alert
00f643f1-864e-42fc-a466-178e5e86baaa,OPERATION-639,Communication Error
0102a989-51ae-4e65-aefa-2345a31a531c,OPERATION-4747,Navigation System Fault
0102aacf-9923-4b40-9a67-62ffa7ae05f9,OPERATION-456,Navigation System Fault
01079301-1f99-4090-af0a-6dea06b12f96,OPERATION-3013,Air Traffic Control Delay
010a2e24-1d73-4716-b76c-04d1c59d455d,OPERATION-3362,Fuel Low
010c57ee-94ae-4970-bbaf-e41b0cf8120d,OPERATION-4049,Engine Check
010f981b-f6f9-4675-9954-fa0ac7bbe730,OPERATION-2859,Air Traffic Control Delay
0114ddbe-daf2-45d3-95a3-6fd563fd21ad,OPERATION-5352,Security Alert
01172010-0cf4-45df-aeee-bd3451231702,OPERATION-4627,Engine Check
0117f804-ad34-4024-a048-ba282c3cb990,OPERATION-3908,Communication Error
01195223-3b3c-45e5-a640-8e8dccd7d71c,OPERATION-4802,Fuel Low
012539b5-a5be-40bd-959d-4d70064da124,OPERATION-2675,Hydraulic System Warning
012bb7fe-5057-45d5-a582-815eb9404ff3,OPERATION-4825,Weather Alert
013786c1-9477-4500-a59e-acf2417744a3,OPERATION-5296,Communication Error
013802ff-51f8-4334-8efd-78b2d7378d3b,OPERATION-5551,Fuel Low
01385f77-921f-416d-9a91-e55cd680e773,OPERATION-1357,Weather Alert
01407f83-69fb-4895-b9a7-75052d2f189f,OPERATION-5591,Hydraulic System Warning
01416988-a4a7-4260-9b22-aa645f93e4d8,OPERATION-3125,Weather Alert
0147892f-2adc-49a1-ad4d-751bf9533f10,OPERATION-709,Hydraulic System Warning
014ea1bb-254e-47a7-b0a5-d561a60f9d69,OPERATION-222,Security Alert
01545879-ef03-4efd-ba41-66b4f50bb600,OPERATION-4962,Communication Error
01557978-3694-4f0c-a5ac-1147e62a61ab,OPERATION-5395,Fuel Low
0156330b-0b0f-40d6-bc92-b6659d4eb940,OPERATION-1002,Hydraulic System Warning
0159ab30-4356-453a-af0f-0ee29817a49f,OPERATION-255,Landing Gear Issue
0159e33e-db90-400d-af1d-eb1f964471da,OPERATION-4945,Air Traffic Control Delay
015a4832-fb64-45c8-8c23-ffa2ec855bf7,OPERATION-4688,Maintenance Required
015d2a0b-064a-4587-9173-3e4377a9d567,OPERATION-3129,Weather Alert
015f226a-3977-43d6-bcbb-229fd9f4501b,OPERATION-2200,Hydraulic System Warning
0166c079-d18e-46d0-b95a-33ea59d5f22c,OPERATION-2116,Air Traffic Control Delay
01674361-30d9-40e2-b5d4-ab8e3a686bf6,OPERATION-1346,Engine Check
01682e33-9836-4d45-a00c-b8b30118a971,OPERATION-5257,Fuel Low
016eab62-db5d-4999-a12a-7b36469e355a,OPERATION-606,Landing Gear Issue
0171f5bb-ecff-4a3a-8082-134af73c708d,OPERATION-1037,Engine Check
0172a34d-9b02-47fd-ac87-c9624572b5ca,OPERATION-500,Communication Error
01776afb-c7af-476b-98da-8c59d9401324,OPERATION-4379,Security Alert
