id,operation.id,message
574a9afe-df94-4482-8d79-590dad8e8ee7,OPERATION-442,Landing Gear Issue
5754c13f-b9b8-4019-99b8-554d3684ca36,OPERATION-4983,Air Traffic Control Delay
57562629-f248-4a87-821a-273e0edef30d,OPERATION-5646,Maintenance Required
5757082d-023f-45a5-be18-751fd9210b75,OPERATION-2296,Landing Gear Issue
5765ec95-2cfe-4064-87ca-b225ca48da82,OPERATION-146,Communication Error
576dd5ff-2025-40ff-9357-6c0bcd4ee4e2,OPERATION-1243,Air Traffic Control Delay
5774555c-60aa-40f4-a3aa-6d5973510934,OPERATION-1464,Air Traffic Control Delay
57770b23-704b-4212-9e0f-c935b22bbd8c,OPERATION-2278,Hydraulic System Warning
5778f0e2-35a1-49eb-8cd8-ed445e8d5c60,OPERATION-1167,Hydraulic System Warning
57820d6f-8aa9-4eb2-aac9-7331792b0668,OPERATION-3856,Engine Check
5784d3cb-0876-434b-a886-7af6e6512e94,OPERATION-3697,Security Alert
5784f355-e0fc-426b-9fce-f78e75b4c433,OPERATION-932,Communication Error
57851f44-54f3-48bb-9515-3ba348994917,OPERATION-4134,Engine Check
578986c9-6633-4c4f-9308-e5cb6a0236cb,OPERATION-684,Security Alert
578bb188-9558-42f4-b9df-8e01f252405c,OPERATION-2224,Engine Check
57960055-230d-48f2-91b6-4277f888ce4a,OPERATION-1511,Security Alert
579680f1-42a5-4ad8-a381-eba7f7978802,OPERATION-1671,Communication Error
5798235b-2444-424d-9295-a911f23045fc,OPERATION-1986,Landing Gear Issue
579d886c-e927-47b2-85db-d86777ed84af,OPERATION-5348,Communication Error
57a0d6bb-7373-48f0-8b8c-954388e2240c,OPERATION-3194,Communication Error
57a0f7a3-81dd-4c14-b91f-6ea4e45222a7,OPERATION-3413,Fuel Low
57a2c0f1-6b2e-4e9f-b878-a76c935b4d72,OPERATION-243,Fuel Low
57a3880b-5d36-435f-8262-688998d6fc5a,OPERATION-2868,Navigation System Fault
57a921fe-c884-416e-bebe-1fc3bb40b4bb,OPERATION-972,Hydraulic System Warning
57a9d451-1fd9-415e-8dfd-5b264484ee65,OPERATION-3063,Fuel Low
57c48074-c995-4993-a5f7-a23c71c72da0,OPERATION-4734,Weather Alert
57c4b6e0-763d-49b6-ba62-65156e213bcb,OPERATION-2036,Maintenance Required
57c661fa-90fe-496e-aa10-17359b06d4ee,OPERATION-2208,Weather Alert
57c9091e-9ef4-4dfd-ad3d-399ec383a997,OPERATION-1121,Landing Gear Issue
57cb9330-e89f-4a0b-89d1-e84876f6aa28,OPERATION-1840,Maintenance Required
57ccd716-1535-422c-931d-60e762c3b1d2,OPERATION-3297,Security Alert
57ce1385-709c-414e-96f8-f3a0b4b61b4d,OPERATION-5667,Maintenance Required
57d000ac-ab04-4f8c-a613-74cd42180de6,OPERATION-4060,Engine Check
57d4f7d2-0a98-4fd2-bdff-13e77590698c,OPERATION-5293,Communication Error
57d8e7cf-aa98-4248-bd02-abaa82bb6647,OPERATION-3409,Communication Error
57dd8689-2bdf-4e5d-ba4b-6325e75f8761,OPERATION-539,Hydraulic System Warning
57ddcdeb-ff10-4765-a0e1-04ecb24797ed,OPERATION-3801,Communication Error
57e96dfd-56b0-4ffe-a3f7-53a0d778c0d1,OPERATION-5263,Air Traffic Control Delay
57ebeb68-0d2a-4fc0-91f0-d0eba020fb4e,OPERATION-575,Maintenance Required
57ec4a74-7ad2-43da-89d6-b00bbb83daed,OPERATION-1153,Air Traffic Control Delay
57eef974-fbcf-4e3b-b613-826ad61a40ce,OPERATION-2344,Weather Alert
57efbff0-f0b8-476f-9428-b57618f1d05a,OPERATION-5154,Security Alert
57f1047e-73dc-40a3-8f56-6dc6a009c8fc,OPERATION-3661,Hydraulic System Warning
57f444db-4ef1-454a-a3a7-fe4f2d380a35,OPERATION-1602,Air Traffic Control Delay
57ffd8a8-f464-42f8-b942-7fcd516a4262,OPERATION-5688,Navigation System Fault
580066f3-ed30-4e11-9efd-139b43e9d8c3,OPERATION-2520,Landing Gear Issue
580fde0a-0bc2-4980-ab7d-295a149a0d73,OPERATION-921,Hydraulic System Warning
58113797-124e-46db-8552-3c9b3b06f0b8,OPERATION-2475,Hydraulic System Warning
5817f5f0-aa4a-4e74-8cb1-8929df18ff2d,OPERATION-2698,Hydraulic System Warning
5826ec8a-5a57-46e6-992d-3677f70fda4c,OPERATION-3661,Weather Alert
582bd7dd-37d5-4dbf-b818-148880dcf20a,OPERATION-714,Maintenance Required
582e6ed1-3b54-42ad-b3d4-ac1cb4cbd75d,OPERATION-115,Fuel Low
582f1acb-4c08-401b-a152-1a64f726d7b6,OPERATION-1416,Air Traffic Control Delay
583b0739-4418-4b72-9c5c-11381224d0d0,OPERATION-896,Security Alert
583e5d3b-627f-4aeb-b7fc-b14eb0edba3e,OPERATION-4325,Air Traffic Control Delay
5842156d-14c0-4e02-a37d-8ecd2e70a78d,OPERATION-691,Weather Alert
584406b3-1f23-41a7-96eb-bfeb71eceeea,OPERATION-1833,Landing Gear Issue
58501a52-0a05-43d1-9714-e17bbe582cbc,OPERATION-4088,Hydraulic System Warning
58544ddc-59e8-432d-8fc9-bf5282431b13,OPERATION-703,Security Alert
585bdfde-a646-43e7-ba41-c54ab0cd9fc5,OPERATION-537,Navigation System Fault
58665c93-7998-46fe-9339-d5f9adb1f970,OPERATION-5293,Engine Check
5866f0b5-ddc0-498f-8e4d-b0457d2f4b85,OPERATION-5590,Fuel Low
586a878d-5230-4c9c-bcc0-ef55a61d7b20,OPERATION-260,Security Alert
586dcab9-d45b-4549-9dc8-2e4832349fb9,OPERATION-255,Hydraulic System Warning
586e71ae-c7b8-440b-971d-df010c04b4c7,OPERATION-2959,Weather Alert
5873ce66-584b-470a-9ea5-911edbce18ed,OPERATION-2788,Communication Error
5875ac44-23d3-42b2-a711-4d937ec60f95,OPERATION-1189,Maintenance Required
5877070f-41e4-4d55-98f1-e61bffa23875,OPERATION-2722,Maintenance Required
58772746-4473-4747-96df-49dbf839e8ae,OPERATION-4511,Landing Gear Issue
58779e81-8a7e-4186-915b-3600c7f85e45,OPERATION-3857,Weather Alert
58804532-b194-4ee9-8955-7b1fa8a00c89,OPERATION-959,Engine Check
58822499-2ef2-4b75-8d11-25ff0e498443,OPERATION-964,Navigation System Fault
5885e08d-0de6-4ff5-9758-c88d5e508221,OPERATION-4044,Air Traffic Control Delay
588b65da-571c-4883-953c-89f0d68a2f2f,OPERATION-4157,Communication Error
588d253b-1d26-4328-bf3a-3fc738cbccb8,OPERATION-2838,Air Traffic Control Delay
5890697f-68e3-4110-b39f-ab5a87e1dd0d,OPERATION-1827,Landing Gear Issue
58948f3d-829f-4728-b385-bc55c2267e55,OPERATION-2817,Security Alert
589d4531-b473-4e0e-a581-d94458aae8cb,OPERATION-2781,Engine Check
589e80da-d92c-42c8-851d-fe3b855f3f61,OPERATION-4317,Weather Alert
58a18293-e032-4f41-9155-cc3df588a710,OPERATION-2730,Air Traffic Control Delay
58a34bc4-6b24-4889-a536-7ad7022e898f,OPERATION-2784,Hydraulic System Warning
58af6fa4-c887-4f8b-a6ac-937d8f2f59c8,OPERATION-3773,Security Alert
58b40bbc-ea7a-4ae0-b3f4-f361b648d908,OPERATION-1606,Weather Alert
58b998f2-e775-4037-a854-c7b5b32a88ba,OPERATION-4730,Communication Error
58ba51af-172e-4d89-9d85-85d52bf856d9,OPERATION-3560,Hydraulic System Warning
58be983e-2eae-48f0-8342-ff2a8f103cd6,OPERATION-5747,Maintenance Required
58c4875e-3f4f-415c-ba79-c4bf019e82e5,OPERATION-688,Fuel Low
58cbb4a7-e99f-41fa-89a8-47d34c22aa33,OPERATION-2979,Engine Check
58cdf4c5-15ce-4d9d-be66-c5a4a843c651,OPERATION-5090,Air Traffic Control Delay
58d0cab6-d6fb-409d-b07f-e237bbebdc20,OPERATION-5119,Fuel Low
58d307b9-e217-42c0-bf6a-d58bb8b4767c,OPERATION-4329,Fuel Low
58d8bba3-a58e-4075-a9f5-7643c30b860b,OPERATION-940,Hydraulic System Warning
58d91524-bdcb-4090-b707-0c4c398fde18,OPERATION-4824,Air Traffic Control Delay
58e045cd-23d7-4126-b443-eb49463da5c6,OPERATION-3718,Communication Error
58e0e598-2e47-4825-9128-abd9cbf7e3d1,OPERATION-1696,Navigation System Fault
58e6d4a1-87ac-4ba5-9c89-e5c92e432060,OPERATION-4400,Hydraulic System Warning
58f0f702-7b5f-4434-ada4-7786cf607923,OPERATION-3663,Weather Alert
58f50b81-b4a5-434a-ab11-0c6d67ba2c8b,OPERATION-5381,Navigation System Fault
58f58a7e-4e6f-45be-a310-2003622d0fc0,OPERATION-2943,Navigation System Fault
58fb8696-e7ec-40a4-ac84-164a22f6a350,OPERATION-239,Maintenance Required
590460f2-4dd3-4d1f-8ec0-a89147ed417e,OPERATION-2811,Weather Alert
5905e414-4138-4a6a-b5f9-eb382212cd05,OPERATION-304,Air Traffic Control Delay
590b2da4-f94f-43ae-ba50-95a048308dac,OPERATION-2934,Air Traffic Control Delay
5917a67c-9749-4f0f-91e8-757b65e2f023,OPERATION-3516,Navigation System Fault
591fd424-75f1-4a50-b241-f296ec40e00b,OPERATION-3613,Maintenance Required
592598f1-ab05-4ba8-b372-e734110caac2,OPERATION-1635,Fuel Low
5929a60f-ba8d-43e4-a712-f4bf31874db0,OPERATION-4287,Weather Alert
59344a4f-1e68-4442-b427-966b15db3b3a,OPERATION-1024,Engine Check
5934b27e-66e6-4187-971f-c811b9dcd120,OPERATION-5402,Weather Alert
59355675-888d-48c9-873b-acbc7e0c1e0f,OPERATION-2913,Hydraulic System Warning
5944be81-3a3b-4a72-acec-40d83bc64ae4,OPERATION-5642,Hydraulic System Warning
5952d0b8-dcfe-42b2-b74b-793927684e7c,OPERATION-2722,Weather Alert
5958f2bb-f613-43b4-9f33-32bce61eaff4,OPERATION-1366,Communication Error
595bbfc5-a11d-4470-87e9-91e1f4c2664c,OPERATION-2159,Hydraulic System Warning
595f3455-437c-4909-808c-8cde04b113c9,OPERATION-4890,Engine Check
596cb3e9-2192-4459-be6b-74d79165efbe,OPERATION-1288,Air Traffic Control Delay
596d0044-7bcc-41e6-83b9-a36d3f8c4354,OPERATION-899,Maintenance Required
59706260-2af6-46e3-bb6d-3d1b6a791e59,OPERATION-3021,Maintenance Required
597d54a4-a8f0-4dc2-9b23-1f7634f57e8f,OPERATION-5336,Landing Gear Issue
598324fe-30a8-4ca8-bce3-69ae4aaf1d1c,OPERATION-3441,Communication Error
