id,name,unit,sensor
AIRCRAFT-SENSOR-AIRCRAFT-1-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-1
AIRCRAFT-SENSOR-AIRCRAFT-1-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-1
AIRCRAFT-SENSOR-AIRCRAFT-1-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-1
AIRCRAFT-SENSOR-AIRCRAFT-1-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-1
AIRCRAFT-SENSOR-AIRCRAFT-10-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-10
AIRCRAFT-SENSOR-AIRCRAFT-10-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-10
AIRCRAFT-SENSOR-AIRCRAFT-10-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-10
AIRCRAFT-SENSOR-AIRCRAFT-10-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-10
AIRCRAFT-SENSOR-AIRCRAFT-100-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-100
AIRCRAFT-SENSOR-AIRCRAFT-100-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-100
AIRCRAFT-SENSOR-AIRCRAFT-100-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-100
AIRCRAFT-SENSOR-AIRCRAFT-100-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-100
AIRCRAFT-SENSOR-AIRCRAFT-101-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-101
AIRCRAFT-SENSOR-AIRCRAFT-101-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-101
AIRCRAFT-SENSOR-AIRCRAFT-101-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-101
AIRCRAFT-SENSOR-AIRCRAFT-101-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-101
AIRCRAFT-SENSOR-AIRCRAFT-102-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-102
AIRCRAFT-SENSOR-AIRCRAFT-102-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-102
AIRCRAFT-SENSOR-AIRCRAFT-102-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-102
AIRCRAFT-SENSOR-AIRCRAFT-102-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-102
AIRCRAFT-SENSOR-AIRCRAFT-103-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-103
AIRCRAFT-SENSOR-AIRCRAFT-103-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-103
AIRCRAFT-SENSOR-AIRCRAFT-103-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-103
AIRCRAFT-SENSOR-AIRCRAFT-103-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-103
