id,name,unit,sensor
AIRCRAFT-SENSOR-AIRCRAFT-211-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-211
AIRCRAFT-SENSOR-AIRCRAFT-211-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-211
AIRCRAFT-SENSOR-AIRCRAFT-211-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-211
AIRCRAFT-SENSOR-AIRCRAFT-211-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-211
AIRCRAFT-SENSOR-AIRCRAFT-212-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-212
AIRCRAFT-SENSOR-AIRCRAFT-212-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-212
AIRCRAFT-SENSOR-AIRCRAFT-212-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-212
AIRCRAFT-SENSOR-AIRCRAFT-212-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-212
AIRCRAFT-SENSOR-AIRCRAFT-213-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-213
AIRCRAFT-SENSOR-AIRCRAFT-213-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-213
AIRCRAFT-SENSOR-AIRCRAFT-213-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-213
AIRCRAFT-SENSOR-AIRCRAFT-213-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-213
AIRCRAFT-SENSOR-AIRCRAFT-214-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-214
AIRCRAFT-SENSOR-AIRCRAFT-214-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-214
AIRCRAFT-SENSOR-AIRCRAFT-214-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-214
AIRCRAFT-SENSOR-AIRCRAFT-214-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-214
AIRCRAFT-SENSOR-AIRCRAFT-215-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-215
AIRCRAFT-SENSOR-AIRCRAFT-215-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-215
AIRCRAFT-SENSOR-AIRCRAFT-215-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-215
AIRCRAFT-SENSOR-AIRCRAFT-215-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-215
AIRCRAFT-SENSOR-AIRCRAFT-216-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-216
AIRCRAFT-SENSOR-AIRCRAFT-216-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-216
AIRCRAFT-SENSOR-AIRCRAFT-216-Oil-Temperature,Oil Temperature,°C,AIRCRAFT-SENSOR-AIRCRAFT-216
AIRCRAFT-SENSOR-AIRCRAFT-216-Vibration,Vibration,mm/s,AIRCRAFT-SENSOR-AIRCRAFT-216
AIRCRAFT-SENSOR-AIRCRAFT-217-Fan-Rotation-Speed,Fan Rotation Speed,rpm,AIRCRAFT-SENSOR-AIRCRAFT-217
AIRCRAFT-SENSOR-AIRCRAFT-217-Oil-Pressure,Oil Pressure,bar,AIRCRAFT-SENSOR-AIRCRAFT-217
