id,aircraft.id,description,priority,status,createdDate,dueDate
WORK-ORDER-1,AIRCRAFT-11,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-01-31,2026-02-01
WORK-ORDER-10,AIRCRAFT-445,Complete delayed maintenance procedures,LOW,CLOSED,2026-04-05,2026-04-10
WORK-ORDER-100,AIRCRAFT-322,Complete delayed maintenance procedures,LOW,CLOSED,2026-04-08,2026-04-10
WORK-ORDER-1000,AIRCRAFT-6,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-26,2026-04-27
WORK-ORDER-10000,AIRCRAFT-456,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10001,AIRCRAFT-456,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10002,AIRCRAFT-466,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-16,2026-11-18
WORK-ORDER-10003,AIRCRAFT-475,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10004,AIRCRAFT-475,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10005,AIRCRAFT-475,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10006,AIRCRAFT-87,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10007,AIRCRAFT-87,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10008,AIRCRAFT-87,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10009,AIRCRAFT-87,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-1001,AIRCRAFT-6,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-04-26,2026-04-29
WORK-ORDER-10010,AIRCRAFT-80,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10011,AIRCRAFT-80,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-04
WORK-ORDER-10012,AIRCRAFT-80,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-03-03,2026-03-04
WORK-ORDER-10013,AIRCRAFT-80,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-03-03,2026-03-05
WORK-ORDER-10014,AIRCRAFT-128,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10015,AIRCRAFT-128,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10016,AIRCRAFT-128,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10017,AIRCRAFT-366,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10018,AIRCRAFT-366,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10019,AIRCRAFT-33,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-1002,AIRCRAFT-6,Repair navigation system components,HIGH,CLOSED,2026-04-26,2026-04-29
WORK-ORDER-10020,AIRCRAFT-12,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10021,AIRCRAFT-12,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10022,AIRCRAFT-432,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10023,AIRCRAFT-432,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10024,AIRCRAFT-432,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10025,AIRCRAFT-432,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10026,AIRCRAFT-432,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10027,AIRCRAFT-391,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10028,AIRCRAFT-391,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10029,AIRCRAFT-296,Repair navigation system components,HIGH,CLOSED,2026-03-03,2026-03-05
WORK-ORDER-1003,AIRCRAFT-133,Conduct security inspection and clearance,HIGH,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10030,AIRCRAFT-296,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-03-03,2026-03-06
WORK-ORDER-10031,AIRCRAFT-296,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10032,AIRCRAFT-296,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-03-03,2026-03-07
WORK-ORDER-10033,AIRCRAFT-296,Conduct security inspection and clearance,HIGH,CLOSED,2026-03-03,2026-03-08
WORK-ORDER-10034,AIRCRAFT-82,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10035,AIRCRAFT-82,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10036,AIRCRAFT-82,Complete delayed maintenance procedures,LOW,CLOSED,2026-11-16,2026-11-19
WORK-ORDER-10037,AIRCRAFT-82,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10038,AIRCRAFT-28,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10039,AIRCRAFT-28,Fix communication equipment and systems,MEDIUM,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-1004,AIRCRAFT-133,Perform engine inspection and maintenance,HIGH,CLOSED,2026-04-26,2026-05-01
WORK-ORDER-10040,AIRCRAFT-213,Conduct security inspection and clearance,HIGH,CLOSED,2026-11-16,2026-11-20
WORK-ORDER-10041,AIRCRAFT-213,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-16,2026-11-18
WORK-ORDER-10042,AIRCRAFT-430,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-11-16,2026-11-17
WORK-ORDER-10043,AIRCRAFT-430,Perform engine inspection and maintenance,HIGH,CLOSED,2026-11-16,2026-11-21
WORK-ORDER-10044,AIRCRAFT-430,Repair navigation system components,HIGH,CLOSED,2026-11-16,2026-11-17
