id,aircraft.id,description,priority,status,createdDate,dueDate
WORK-ORDER-6040,AIRCRAFT-418,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-08-17,2026-08-20
WORK-ORDER-6041,AIRCRAFT-135,Perform engine inspection and maintenance,HIGH,CLOSED,2026-08-17,2026-08-21
WORK-ORDER-6042,AIRCRAFT-135,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-08-17,2026-08-19
WORK-ORDER-6043,AIRCRAFT-135,Fix communication equipment and systems,MEDIUM,CLOSED,2026-08-17,2026-08-21
WORK-ORDER-6044,AIRCRAFT-135,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-08-17,2026-08-21
WORK-ORDER-6045,AIRCRAFT-135,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-08-17,2026-08-18
WORK-ORDER-6046,AIRCRAFT-114,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6047,AIRCRAFT-114,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-08-17,2026-08-21
WORK-ORDER-6048,AIRCRAFT-251,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-08-17,2026-08-20
WORK-ORDER-6049,AIRCRAFT-251,Conduct security inspection and clearance,HIGH,CLOSED,2026-08-17,2026-08-21
WORK-ORDER-605,AIRCRAFT-276,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-04-19,2026-04-23
WORK-ORDER-6050,AIRCRAFT-20,Repair navigation system components,HIGH,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6051,AIRCRAFT-20,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6052,AIRCRAFT-419,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6053,AIRCRAFT-419,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6054,AIRCRAFT-419,Conduct security inspection and clearance,HIGH,CLOSED,2026-08-17,2026-08-22
WORK-ORDER-6055,AIRCRAFT-419,Perform engine inspection and maintenance,HIGH,CLOSED,2026-08-17,2026-08-18
WORK-ORDER-6056,AIRCRAFT-278,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-02-20,2026-02-25
WORK-ORDER-6057,AIRCRAFT-278,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-02-20,2026-02-21
WORK-ORDER-6058,AIRCRAFT-278,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-02-20,2026-02-24
WORK-ORDER-6059,AIRCRAFT-10,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-08-18,2026-08-22
WORK-ORDER-606,AIRCRAFT-308,Perform engine inspection and maintenance,HIGH,CLOSED,2026-02-05,2026-02-09
WORK-ORDER-6060,AIRCRAFT-10,Fix communication equipment and systems,MEDIUM,CLOSED,2026-08-18,2026-08-19
WORK-ORDER-6061,AIRCRAFT-465,Inspect and repair landing gear assembly,HIGH,CLOSED,2026-08-18,2026-08-20
WORK-ORDER-6062,AIRCRAFT-264,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-08-18,2026-08-23
WORK-ORDER-6063,AIRCRAFT-264,Service hydraulic systems and check for leaks,HIGH,CLOSED,2026-08-18,2026-08-23
WORK-ORDER-6064,AIRCRAFT-264,Perform weather-related damage inspection,MEDIUM,CLOSED,2026-08-18,2026-08-22
WORK-ORDER-6065,AIRCRAFT-264,Refuel aircraft to operational capacity,HIGH,CLOSED,2026-08-18,2026-08-19
WORK-ORDER-6066,AIRCRAFT-299,Conduct security inspection and clearance,HIGH,CLOSED,2026-08-18,2026-08-23
WORK-ORDER-6067,AIRCRAFT-299,Perform scheduled maintenance tasks,MEDIUM,CLOSED,2026-08-18,2026-08-22
WORK-ORDER-6068,AIRCRAFT-137,Complete delayed maintenance procedures,LOW,CLOSED,2026-08-18,2026-08-23
